time,open,high,low,close,volume
2018-05-14 08:00:00,1319.15,1321.65,1318.85,1320.75,7788
2018-05-14 12:00:00,1320.8,1321.35,1317.8,1318.65,7800
2018-05-14 16:00:00,1318.7,1321.1,1317.95,1319.05,10497
2018-05-14 20:00:00,1319.1,1319.2,1312.8,1313.1,6692
2018-05-15 00:00:00,1312.95,1314.65,1312.85,1314.1,2499
2018-05-15 04:00:00,1314.15,1314.5,1311.0,1311.15,4003
2018-05-15 08:00:00,1311.1,1312.3,1309.3,1309.6,8429
2018-05-15 12:00:00,1309.65,1310.65,1296.6,1297.35,13106
2018-05-15 16:00:00,1297.35,1298.1,1290.7,1291.15,17070
2018-05-15 20:00:00,1291.2,1292.7,1288.5,1290.7,8976
2018-05-16 00:00:00,1289.95,1293.4,1289.8,1292.45,3256
2018-05-16 04:00:00,1292.4,1294.45,1291.05,1294.0,4943
2018-05-16 08:00:00,1293.95,1296.75,1292.3,1292.95,9176
2018-05-16 12:00:00,1292.85,1293.4,1286.2,1287.35,13025
2018-05-16 16:00:00,1287.4,1291.65,1287.25,1291.5,12926
2018-05-16 20:00:00,1291.6,1293.55,1290.05,1290.45,5131
2018-05-17 00:00:00,1290.25,1291.8,1290.1,1290.45,2126
2018-05-17 04:00:00,1290.4,1294.2,1289.3,1291.5,5185
2018-05-17 08:00:00,1291.45,1293.05,1287.05,1288.1,11082
2018-05-17 12:00:00,1288.05,1290.05,1284.65,1289.65,10684
2018-05-17 16:00:00,1289.7,1292.2,1287.45,1291.25,13075
2018-05-17 20:00:00,1291.3,1291.65,1289.65,1290.7,4219
2018-05-18 00:00:00,1290.45,1290.65,1288.65,1289.75,2093
2018-05-18 04:00:00,1289.7,1289.75,1287.6,1288.35,3624
2018-05-18 08:00:00,1288.4,1291.0,1288.05,1288.55,6214
2018-05-18 12:00:00,1288.45,1288.7,1285.9,1287.2,8550
2018-05-18 16:00:00,1287.25,1292.8,1285.9,1292.4,13279
2018-05-18 20:00:00,1292.45,1294.1,1291.25,1292.45,3626
2018-05-21 00:00:00,1290.1,1291.85,1288.55,1289.65,3058
2018-05-21 04:00:00,1289.6,1290.6,1287.55,1287.95,4172
2018-05-21 08:00:00,1288.05,1288.15,1281.9,1284.25,8329
2018-05-21 12:00:00,1284.2,1287.9,1283.65,1286.95,7700
2018-05-21 16:00:00,1287.0,1290.25,1286.8,1289.65,10675
2018-05-21 20:00:00,1289.6,1293.0,1289.35,1292.4,4927
2018-05-22 00:00:00,1292.4,1293.3,1291.85,1292.25,2346
2018-05-22 04:00:00,1292.3,1292.35,1288.95,1289.3,4948
2018-05-22 08:00:00,1289.25,1296.05,1287.8,1293.6,11022
2018-05-22 12:00:00,1293.65,1296.0,1292.65,1293.85,8814
2018-05-22 16:00:00,1293.8,1295.0,1290.85,1294.05,11482
2018-05-22 20:00:00,1294.0,1294.0,1290.8,1291.0,4343
2018-05-23 00:00:00,1290.95,1295.35,1290.55,1292.9,2671
2018-05-23 04:00:00,1292.85,1294.55,1291.85,1292.2,5634
2018-05-23 08:00:00,1292.25,1293.75,1289.05,1292.45,13138
2018-05-23 12:00:00,1292.5,1298.55,1291.7,1292.05,12055
2018-05-23 16:00:00,1291.95,1294.2,1287.5,1290.3,13234
2018-05-23 20:00:00,1290.25,1294.9,1288.8,1293.1,7754
