<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.09	22:00:00	2364.133	2364.430	2363.278	2364.430	1454	0	199
2024.07.09	23:00:00	2364.413	2366.044	2364.382	2364.965	1907	0	199
2024.07.10	00:00:00	2364.944	2366.539	2364.420	2364.630	3137	0	199
2024.07.10	01:00:00	2364.645	2369.898	2363.302	2368.229	5495	0	199
2024.07.10	02:00:00	2368.275	2370.292	2366.884	2369.282	4189	0	199
2024.07.10	03:00:00	2369.271	2369.767	2366.452	2368.144	3491	0	199
2024.07.10	04:00:00	2368.165	2368.897	2366.566	2367.735	3158	0	199
2024.07.10	05:00:00	2367.740	2370.338	2367.291	2368.321	3770	0	199
2024.07.10	06:00:00	2368.376	2372.785	2367.120	2371.884	4418	0	199
2024.07.10	07:00:00	2371.935	2374.925	2371.380	2372.604	4287	0	199
2024.07.10	08:00:00	2372.569	2374.224	2371.437	2372.817	4132	0	199
2024.07.10	09:00:00	2372.803	2374.159	2371.662	2371.897	3757	0	199
2024.07.10	10:00:00	2371.897	2375.312	2371.724	2372.480	3581	0	199
2024.07.10	11:00:00	2372.433	2378.361	2372.393	2378.353	4263	0	199
2024.07.10	12:00:00	2378.386	2381.781	2377.196	2377.768	5840	0	199
2024.07.10	13:00:00	2377.713	2386.671	2376.222	2383.174	9215	0	199
2024.07.10	14:00:00	2383.181	2385.094	2373.880	2374.900	9186	0	199
2024.07.10	15:00:00	2374.870	2380.715	2374.007	2378.760	6626	0	199
2024.07.10	16:00:00	2378.787	2381.331	2376.612	2377.889	4846	0	199
2024.07.10	17:00:00	2377.874	2378.524	2370.466	2372.944	5843	0	199
2024.07.10	18:00:00	2372.891	2373.565	2369.834	2372.647	3847	0	199
2024.07.10	19:00:00	2372.630	2372.630	2370.522	2371.766	3689	0	199
2024.07.10	20:00:00	2371.756	2372.423	2370.863	2371.289	2106	0	199
2024.07.10	22:00:00	2372.147	2372.881	2371.192	2372.840	1483	0	199
2024.07.10	23:00:00	2372.824	2372.911	2372.194	2372.852	1701	0	199
2024.07.11	00:00:00	2372.834	2374.398	2371.403	2374.189	3099	0	199
2024.07.11	01:00:00	2374.180	2376.294	2373.074	2375.848	4475	0	199
2024.07.11	02:00:00	2375.849	2377.732	2374.351	2377.353	4171	0	199
2024.07.11	03:00:00	2377.334	2380.222	2376.818	2378.744	3783	0	199
